SYMBOL	ENTREZID
HMGXB4	10042
BIK	638
HMOX1	3162
NIPSNAP1	8508
MCM5	4174
ARSA	410
RASD2	23551
TTLL12	23170
CBX7	23492
ACR	49
CABP7	164633
TAB1	10454
PNPLA5	150379
PNPLA3	80339
MYH9	4627
TXN2	25828
EIF3D	8664
PVALB	5816
UPK3A	7380
FAM118A	55007
ST13	6767
IL2RB	3560
RBX1	9978
L3MBTL2	83746
CHADL	150356
PHF5A	84844
ACO2	50
PMM1	5372
CERK	64781
BRD1	23774
ZBED4	9889
HDAC10	83933
RIPK3	11035
PAPOLA	10914
NID2	22795
SNAPC1	6617
SUPT16H	11198
FKBP3	2287
CTSG	1511
GZMH	2999
GZMB	3002
AP4S1	11154
POLE2	5427
SOS2	6655
PYGL	5836
GNPNAT1	64841
CNIH1	10175
CGRRF1	10668
ATP6V1D	51382
PLEK2	26499
PIGH	5283
PSMA3	5684
GSTZ1	2954
TMED8	283578
SAMD15	161394
AHSA1	10598
SPTLC2	9517
RIN3	79890
ALKBH1	8846
CHGA	1113
DHRS7	51635
SIX4	51804
SLC10A1	6554
EIF5	1983
ZFYVE21	79038
MTHFD1	4522
BDKRB1	623
VRK1	7443
APEX1	328
PABPN1	8106
EFS	10278
CINP	51550
PCK2	5106
NFKBIA	4792
PSME2	5721
BRMS1L	84312
PNN	5411
CYP24A1	1591
AURKA	6790
ZFP64	55734
GSS	2937
PYGB	5834
PROCR	10544
MYBL2	4605
R3HDML	140902
SALL4	57167
CSTF1	1477
TPD52L2	7165
CTSZ	1522
TUBB1	81027
SLCO4A1	28231
BIRC7	79444
UBOX5	22888
EEF1A2	1917
SRMS	6725
C20orf27	54976
TRIB3	57761
CSNK2A1	1457
MACROD2	140733
SLC52A3	113278
RSPO4	343637
PROKR2	128674
FERMT1	55612
TLDC2	140711
CDK5RAP1	51654
SNTA1	6640
OXT	5020
CHMP4B	128866
LBP	3929
SLC32A1	140679
CST4	1472
AHCY	191
SPINT3	10816
PIGU	128869
ACOT8	10005
APMAP	57136
TXNL1	9352
MYL12A	10627
RNF125	54941
IDH3G	3421
SLC25A43	203427
MXRA5	25878
PSMD10	5716
STS	412
TBL1X	6907
PGRMC1	10857
RHOXF1	158800
NXT2	55916
GUCY2F	2986
ATP1B4	23439
PAGE4	9506
GLRA2	2742
STAG2	10735
F9	2158
ABCD1	215
KCND1	3750
PQBP1	10084
PCSK1N	27344
RAB40AL	282808
GPR50	9248
RP2	6102
USP11	8237
TIMP1	7076
ITIH6	347365
GLA	2717
ATP12A	479
MLNR	2862
SGCG	6445
OLFM4	10562
NTHL1	4913
ZNF263	10127
MMP2	4313
ORC6	23594
C16orf70	80262
CORO1A	11151
MT4	84560
NUTF2	10204
CBLN1	869
ARL2BP	23568
PLLP	51090
CCL22	6367
DHODH	1723
CCL17	6361
POLR2C	5432
PARD6A	50855
MMP15	4324
USB1	79650
CCDC113	29070
PRSS54	221191
NME3	4832
PSMD7	5713
SETD6	79918
SMPD3	55512
PLA2G15	23659
FA2H	79152
CMC2	56942
PDIA2	64714
ARHGDIG	398
MPG	4350
HSDL1	83693
WFDC1	58189
TSC2	7249
ZNF500	26048
NME4	4833
DECR2	26063
STUB1	10273
MEFV	4210
CRYM	1428
CAPN15	6650
AQP8	343
USP31	57478
TOX3	27324
MAZ	4150
CDIPT	10423
SLC6A2	6530
KNOP1	400506
MGA	23269
AQP9	366
CSK	1445
MTFMT	123263
RASL12	51285
CTSH	1512
EHD4	30844
TGM5	9333
GABPB1	2553
SCG3	29106
DNAJC17	55192
RHOV	171177
VPS18	57617
OIP5	11339
BLOC1S6	26258
EXTL3	2137
AGO2	27161
PAG1	55824
TG	7038
BRF2	55290
ZFAND1	79752
RP1	6101
RIPK2	8767
CPQ	10404
DECR1	1666
SFRP1	6422
PLAT	5327
DKK4	27121
GDAP1	54332
EIF3E	3646
EMC2	9694
CHRAC1	54108
GML	2765
MTMR9	66036
DCTN6	10671
GSR	2936
TNFRSF10A	8797
PPP2CB	5516
NEFM	4741
KCTD9	54793
EXOSC5	56915
PAF1	54623
CYP4F3	4051
ZNF180	7733
TULP2	7288
DHDH	27294
ECH1	1891
HNRNPL	3191
LHB	3972
KCNA7	3743
RELB	5971
CLASRP	11129
LIN7B	64130
PPP1R37	284352
FCGRT	2217
CKM	1158
PEX11G	92960
SLC17A7	57030
RNASEH2A	10535
SF3A2	8175
AMH	268
DKKL1	27120
RETN	56729
RSPH6A	81492
TBC1D17	79735
AES	166
SGTA	6449
SNAPC2	6618
FIZ1	84922
C19orf44	84167
CYP4F2	8529
EPHX3	79852
SLC1A6	6511
LGALS13	29124
FBL	2091
CLC	1178
EBI3	10148
TBCB	1155
FSD1	79187
POLR2I	5438
APLP1	333
CCDC9	26093
TGFB1	7040
CEACAM4	1089
PLIN3	10226
CD79A	973
LIM2	3982
NKG7	4818
ICAM5	7087
CEACAM5	1048
CRX	1406
SULT2A1	6822
CDC37	11140
RABAC1	10567
CNFN	84518
ZNRF4	148066
HAS1	3036
RAB3D	9545
DBP	1628
EPOR	2057
RASIP1	54922
GCDH	2639
DNASE2	1777
LENG1	79165
RPL18A	6142
SLC5A5	6528
ARRDC2	27106
PIK3R2	5296
RAB3A	5864
COMP	1311
TMEM147	10430
GAPDHS	26330
USF2	7392
ERF	2077
GSK3A	2931
SIPA1L3	23094
CADM4	199731
PON1	5444
CYP3A43	64816
ABCF2	10061
HGF	3082
LAMB1	3912
UBE2D4	51619
WNT16	51384
CPA2	1358
CPA4	51200
GTPBP10	85865
TFPI2	7980
BET1	10282
NAMPT	10135
TWISTNB	221830
PON2	5445
ITGB8	3696
HBP1	26959
SP4	6671
DLX5	1749
MPP6	51678
OGDH	4967
NPVF	64111
CAV2	858
HOXA2	3199
LFNG	3955
HOXA5	3202
HOXA6	3203
TSPAN12	23554
HOXA13	3209
CHN2	1124
ABHD11	83451
FKBP14	55033
STX1A	6804
NOD1	10392
PDAP1	11333
CYP3A5	1577
SNX8	29886
WASL	8976
HYAL4	23553
AIMP2	7965
PCOLCE	5118
RBM28	55131
SERPINE1	5054
MOGAT3	346606
PLOD3	8985
RPA3	6119
FIS1	51024
GLCCI1	113263
MYL10	93408
CEP41	95681
ZNF862	643641
MEST	4232
YAE1D1	57002
GIMAP2	26157
PSMA2	5683
MRPL32	64983
AEBP1	165
MYL7	58498
GCK	2645
YKT6	10652
CLIP2	7461
ZNF688	146542
CHMP5	51510
FKTN	2218
SEC61B	10952
C5	727
TNFSF8	944
RLN1	6013
PLGRKT	55848
EDF1	8721
SETX	23064
C8G	733
BLNK	29760
CYP26A1	1592
ATE1	11101
SFXN3	81855
FBXL15	79176
DNAJC12	56521
PPIF	10105
TBC1D12	23232
MPO	4353
ST6GALNAC2	10610
DHX33	56919
UTP18	51096
P2RX5	5026
EPX	8288
CRYBA1	1411
NUFIP2	57532
RPL19	6143
CSF3	1440
SUPT4H1	6827
WNT3	7473
SHPK	23729
TAX1BP3	30851
P2RX1	5023
KRT37	8688
GOSR2	9570
PNPO	55163
TVP23C	201158
RPS6KB1	6198
PIGL	9487
PFN1	5216
SLC25A11	8402
RASD1	51655
C1QBP	708
CPD	1362
GOSR1	9527
CCDC47	57003
MED31	51003
DRG2	1819
AKAP10	11216
SYNGR2	9144
DDX5	1655
ASIC2	40
CCL2	6347
CCL1	6346
CCL13	6357
KRT32	3882
KAT2A	2648
NAGLU	4669
ABI3	51225
COL1A1	1277
MRPL27	51264
LRRC59	55379
HDAC5	10014
DUSP3	1845
CACNG1	786
HLF	3131
EFNB3	1949
RANGRF	29098
RCVRN	5957
MYH1	4619
VTN	7448
TNFAIP1	7126
TMEM97	27346
FOXN1	8456
ALDOC	230
CD38	952
IBSP	3381
LAP3	51056
CXCL6	6372
JADE1	79960
AFM	173
PHOX2B	8929
GNRHR	2798
CWH43	80157
SULT1E1	6783
SMR3A	26952
PF4V1	5197
NFKB1	4790
MANBA	4126
IL2	3558
WFS1	7466
GAR1	54433
FRG1	2483
CLNK	116449
FAM149A	25854
CD82	3732
SPI1	6688
CTSC	1075
ZPR1	8882
CRTAM	56253
DTX4	23220
UNC93B1	81622
PUS3	83480
CCND1	595
CCDC86	79080
PRPF19	27339
TMEM109	79073
PANX1	24145
APOC3	345
IL10RA	3587
GALNT18	374378
PDHX	8050
SLC15A3	51296
SCGB2A2	4250
DGAT2	84649
C11orf58	10944
YBX3	8531
KITLG	4254
SART3	9733
SLC25A3	5250
POLR3B	55703
CD69	969
PRDM4	11108
CLEC2B	9976
SELPLG	6404
ASIC1	41
DAO	1610
KCTD10	83892
MLEC	9761
CSRNP2	81566
IL23A	51561
SYT10	341359
CYP27B1	1594
MYF6	4618
MYF5	4617
GLI1	2735
PPM1H	57460
LTA4H	4048
ELK3	2004
ITFG2	55846
PRR4	11272
PARP11	57097
ARPC3	10094
FGF6	2251
MYL2	4633
RAD51AP1	10635
AKAP3	10566
CREBL2	1389
CDKN1B	1027
GPRC5D	55507
LTBR	4055
OAS3	4940
ART4	420
MGP	4256
ARHGDIB	397
RERGL	79785
FZD10	11211
IL26	55801
IFNG	3458
NUP107	57122
CNOT2	4848
KRR1	11103
MRPL51	51258
GAPDH	2597
ACRBP	84519
GNB3	2784
CHPT1	56994
USP5	8078
TPI1	7167
C12orf57	113246
APOBEC1	339
NANOG	79923
GOLT1B	51026
PRKAB1	5564
CMAS	55907
HCFC2	29915
CLEC4A	50856
AICDA	57379
RAB35	11021
COX6A1	1337
SRSF9	8683
FGFR1OP2	26127
KLRB1	3820
GCLC	2729
IYD	389434
RSPH4A	345895
ADTRP	84830
ASF1A	25842
HINT3	135114
ULBP1	80329
SLC44A4	80736
FBXO5	26271
FANCE	2178
TULP1	7287
MAPK14	1432
STK38	11329
HLA-DOA	3111
SAYSD1	55776
CAP2	10486
GPR63	81491
GPLD1	2822
ACOT13	55856
RPS12	6206
B3GAT2	135152
GMNN	51053
SNX3	8724
ZBTB24	9841
FIG4	9896
UNC93A	54346
C6orf118	168090
MDFI	4188
BYSL	705
GUCA1B	2979
PRPH2	5961
DNPH1	10591
EXOC2	55770
TMEM30A	55754
LAMA4	3910
PRSS16	10279
MEP1A	4224
SKIV2L2	23517
ISL1	3670
SLC6A7	6534
POU4F3	5459
HARS2	23438
NUDT12	83594
PAPD7	11044
DAP	1611
HBEGF	1839
LOX	4015
GZMK	3003
CDH9	1007
SPARC	6678
HAND1	9421
PCDHB3	56132
PCDHB5	26167
PCDHB6	56130
PCDHB7	56129
PCDHB15	56121
GRM6	2916
THG1L	54974
IL12B	3593
TTC1	7265
LNPEP	4012
AGXT2	64902
IL4	3565
IL5	3567
ST8SIA4	7903
PCDH12	51294
SKP1	6500
NUP155	9631
NR3C1	2908
C5orf15	56951
TRIM23	373
RARS	5917
CDX1	1044
BNIP1	662
SLC7A14	57709
SEMA3G	56920
ZMYND10	51364
LTF	4057
MLH1	4292
EHHADH	1962
CRBN	51185
HRG	3273
UBE3A	7337
RBP2	5948
RBP1	5947
PFKFB4	5210
HES1	3280
GNAT1	2779
TUSC2	11334
NPRL2	10641
GNB4	59345
MORC1	27136
UMPS	7372
ABTB1	80325
KLHL18	23276
RRP9	9136
AADAC	13
EIF1B	10289
ZBTB47	92999
TNNC1	7134
NKTR	4820
NEK4	6787
TMEM159	57146
WDFY1	57590
EIF2AK2	5610
DAZAP1	26528
HEATR5B	54497
MAPRE3	22924
TMSB10	9168
MSH2	4436
NCK2	8440
TFPI	7035
SLC11A1	6556
APOB	338
INO80B	83444
TTL	150465
FAHD2A	51011
SF3B6	51639
SLC30A3	7781
NRBP1	29959
SNX17	9784
REEP6	92840
WBP1	23559
MOGS	7841
TTC31	64427
NDUFS7	374291
PCGF1	84759
TLX2	3196
DOK1	1796
ACADL	33
EVA1A	84141
REG1A	5967
IGFBP2	3485
IGFBP5	3488
KCNJ13	3769
GGCX	2677
NEU2	4759
HSPE1	3336
WNT6	7475
IL1RL1	9173
SLC9A2	6549
AZU1	566
PPP1R7	5510
PROC	5624
ID2	3398
ODC1	4953
GORASP2	26003
CEBPZ	10153
RMDN2	151393
DLX2	1746
SLC1A4	6509
ORC2	4999
PPP3R1	5534
PLEK	5341
PRTN3	5657
KISS1R	84634
GRIN3B	116444
VAX2	25806
ATP6V1B1	525
MSH6	2956
PLEKHA3	65977
SPR	6697
CLCN6	1185
ENO1	2023
SARS	6301
CLCA1	1179
BCL9	607
TPSG1	25823
ANGPTL1	9068
TCEANC2	127428
TMEM59	9528
OPRD1	4985
WDR77	79084
C1orf21	81563
MAD2L2	10459
MFN2	9927
MIIP	60672
SLC35D1	23169
PRAMEF10	343071
PRAMEF4	400735
PRDM2	7799
RGS2	5997
WARS2	10352
OSCP1	127700
NT5C1A	84618
AKR7A2	8574
CD160	11126
SLC19A2	10560
SELL	6402
FMO6P	388714
VAMP4	8674
SYF2	25949
SLC5A9	200010
CTSD	1509
A4GNT	51146
MMP8	4317
APOA1	335
SLC8A2	6543
TNNT2	7139
CAMSAP2	23271
ATIC	471
TNP1	7141
FASTKD2	22868
TTR	7276
DOPEY1	23033
FILIP1	27145
SPACA1	81833
TBPL1	9519
ZC2HC1B	153918
FBXO30	84085
ADAT2	134637
PMFBP1	83449
MED28	80306
RNF103	7844
RPN2	6185
SOGA1	140710
PKD2	5311
ABCG2	9429
STBD1	8987
CCNI	10983
RARRES1	5918
FGF23	8074
ELL2	22936
NDUFB3	4709
ZFAND5	7763
GDA	9615
C2orf40	84417
CPSF3	51692
DDX55	57696
CCDC92	80212
FKBP15	23307
HDHD3	81932
VPS4B	9525
SERPINB10	5273
GSC	145258
ADCK1	57143
IFI27L2	83982
NEK9	91754
ACYP1	97
IFT43	112752
IRF2BPL	64207
ACOT2	10965
FLVCR2	55640
TGFB3	7043
PAPOLG	64895
TP53I3	9540
RHOQ	23433
TMEM214	54867
ATAD2B	54454
FAM98A	25940
YIPF4	84272
AFTPH	54812
LGALSL	29094
CRIPT	9419
PPP1R3C	5507
PRLHR	2834
C10orf95	79946
HOXB8	3218
HOXB5	3215
HOXB7	3217
DUSP1	1843
PANK3	79646
MSX2	4488
INSL4	3641
IFNA7	3444
LRP11	84918
CCDC170	80129
ARAP3	64411
PCDHB8	56128
PCDHB10	56126
PCDHB14	56122
PCDHB12	56124
SLC25A2	83884
PRRX1	5396
TNN	63923
TTLL2	83887
MSANTD2	79684
PDZD11	51248
NUDCD1	84955
CCDC77	84318
ELF1	1997
ALG5	29880
FAM53C	51307
MYOT	9499
EGR1	1958
PFN2	5217
NFYB	4801
DUSP4	1846
SORBS3	10174
TARDBP	23435
PRAMEF2	65122
RDH10	157506
DLX4	1748
COIL	8161
TBX2	6909
SLC35B1	10237
TBX4	9496
TEX14	56155
FAM117A	81558
NCAPH	23397
MND1	84057
ZNF141	7700
TSHZ3	57616
TAS2R8	50836
PLBD1	79887
KLRK1	22914
TAS2R10	50839
PYROXD1	79912
IAPP	3375
KCNJ8	3764
TAS2R7	50837
TAS2R9	50835
TFG	10342
KALRN	8997
NAA50	80218
MAPK8IP1	9479
PEX16	9409
DEPDC7	91614
CAT	847
GJA3	2700
GHSR	2693
TNFSF10	8743
CPXM2	119587
GSTM2	2946
ACVR2A	92
POLK	51426
FLT3	2322
RASL11A	387496
FYTTD1	84248
MYOG	4656
AHR	196
BBS9	27241
OCM	654231
EEPD1	80820
KIAA0087	9808
WIPF3	644150
HOXA7	3204
INHBA	3624
RAMP3	10268
TWIST1	7291
CLTA	1211
ZC3HAV1	56829
AKR1D1	6718
NEUROG3	50674
SRGN	5552
EGR2	1959
FAM149B1	317662
UNG	7374
IFT81	28981
ACADS	35
RNF11	26994
BHLHE41	79365
SSPN	8082
DDX39A	10212
ZNF442	79973
CCDC70	83446
EBPL	84650
ATP7B	540
NEUROD4	58158
ORMDL2	29095
PDE1B	5153
HOXC13	3229
LRP1	4035
HOXC12	3228
HOXC6	3223
FAAH	2166
RSRP1	57035
SEC61A1	29927
RAB9B	51209
RIF1	55183
TTC21B	79809
NMI	9111
TNFAIP6	7130
ACVR1C	130399
SLC36A1	206358
BATF3	55509
KCNJ2	3759
PLA2G12A	81579
SNRPA	6626
B9D2	80776
C4BPB	725
ZNF350	59348
RAB38	23682
GPR83	10888
HAUS3	79441
CHPF	79586
INHA	3623
ENKD1	84080
ACTR5	79913
MC3R	4159
SYS1	90196
PI3	5266
WFDC3	140686
ATP5E	514
PLCG1	5335
SRSF6	6431
RAB22A	57403
PTGIS	5740
SNAI1	6615
MOCS3	27304
RNF114	55905
MAGEA10	4109
PEPD	5184
IL9R	3581
MCEE	84693
PAIP2B	400961
SNRNP27	11017
MPHOSPH10	10199
IL17C	27189
LIPE	3991
IRGC	56269
LYPD3	27076
CEACAM8	1088
RNF39	80352
FBXO9	26268
RRP36	88745
BTN1A1	696
BTN3A3	10384
SNRPC	6631
SLC17A1	6568
HIST1H1D	3007
HIST1H4F	8361
UNC5CL	222643
AARS2	57505
HIST1H1A	3024
ZNF391	346157
OR2B6	26212
APOBEC2	10930
TREM1	54210
MEA1	4201
COL21A1	81578
SOX4	6659
CPNE5	57699
SSR1	6745
ATXN1	6310
EREG	2069
SCGB1D2	10647
SCGB2A1	4246
EMC3	55831
SH3TC1	54436
KATNAL2	83473
BBS2	583
MT2A	4502
GOT2	2806
SPHK2	56848
PIWIL1	9271
RAP2A	5911
SLC10A2	6555
EFNB2	1948
SLC22A5	6584
IRF1	3659
BMP4	652
PTGER2	5732
SOX9	6662
MYH2	4620
MRPS7	51081
ARMC7	79637
NUP85	79902
NT5C	30833
MSTO1	55154
MBOAT7	79143
LILRB3	11025
SLC35F5	80255
INSIG2	51141
PSD4	23550
PSPN	5623
ALKBH7	84266
CLPP	8192
TNFSF9	8744
THOC2	57187
CD70	970
C3	718
SH2D3A	10045
FOSB	2354
RTN2	6253
VASP	7408
SYMPK	8189
CFAP61	26074
CDC25B	994
GNRH2	2797
CD93	22918
CST8	10047
TMX4	56255
MKKS	8195
DSTN	11034
LAMP5	24141
SNRPB2	6629
TCF15	6939
OTOR	56914
SCRT2	85508
DEFB129	140881
TLE6	79816
S1PR4	8698
NCLN	56926
PITHD1	57095
FNTB	2342
MMP24	10893
NECAB3	63941
RALY	22913
PLAGL2	5326
UROD	7389
SLC35E2	9906
SLURP1	57152
IGFLR1	79713
CAPNS1	826
PDCD2L	84306
UBA2	10054
HCST	10870
FFAR1	2864
COX6B1	1340
KRT13	3860
KRT38	8687
CCR7	1236
KRT9	3857
NR1D1	9572
ARL2	402
RRAS	6237
PRRG2	5639
TSKS	60385
FLRT1	23769
SBDS	51119
CSN1S1	1446
STATH	6779
MLX	6945
WNK4	65266
TRAP1	10131
SUGP1	57794
DDX49	54555
GDF1	2657
SDF2	6388
NSRP1	84081
CFP	5199
ATG14	22863
SIX1	6495
DLGAP5	9787
L3HYPDH	112849
TBPL2	387332
SGPP1	81537
PLEKHG3	26030
EVI2A	2123
OMG	4974
CTAG2	30848
CANX	821
PYCARD	29108
PHPT1	29085
TRAF2	7186
ABHD8	79575
HELB	92797
YEATS4	8089
TAS2R3	50831
TAS2R4	50832
TAS2R5	54429
ZNF777	27153
IDUA	3425
ZNF317	57693
PIN1	5300
FBXL12	54850
KIF17	57576
PLA2G2C	391013
OR7A10	390892
KLF2	10365
OR7C2	26658
OR7C1	26664
F2RL3	9002
HCFC1R1	54985
GFER	2671
SYNGR3	9143
GNG13	51764
ZNF10	7556
TICAM1	148022
MON1B	22879
METTL25	84190
EIF3K	27335
OR1E2	8388
TUBA4A	7277
VIL1	7429
AAMP	14
HSPB1	3315
GNG11	2791
GNGT1	2792
PTPN12	5782
FGL2	10875
STYXL1	51657
PEX1	5189
MTERF1	7978
LRFN1	57622
RASL11B	65997
TUBGCP6	85378
DGCR6L	85359
CYTH4	27128
SGSM3	27352
SEZ6L	23544
VPREB3	29802
SDF2L1	23753
YWHAH	7533
C22orf24	25775
RFPL3	10738
CDC42EP1	11135
MCHR1	2847
GALR3	8484
APOL5	80831
CCDC117	150275
APOL2	23780
RAC2	5880
LIF	3976
C22orf23	84645
PMPCB	9512
TAS2R16	50833
LSM8	51691
VGF	7425
STRIP2	57464
DNAJB9	4189
LRRC4	64101
SMO	6608
OPN1SW	611
SIRT2	22933
MTX2	10651
HOXD9	3235
HOXD10	3236
HOXD11	3237
PIAS1	8554
SNAP23	8773
TMOD2	29767
DLL4	54567
ALDH1A2	8854
KNSTRN	90417
CLN6	54982
ISLR	3671
THAP10	56906
ACKR4	51554
MBD4	8930
COPB1	1315
MYOD1	4654
TPH1	7166
ZNF232	7775
CD68	968
TXNDC17	84817
ATP1B2	482
FXR2	9513
MPDU1	9526
WISP1	8840
QTRT1	81890
AP1M2	10053
CLEC11A	6320
KLK12	43849
CMA1	1215
BCL2L2	599
PARP2	10038
FOXA1	3169
EAPP	55837
EGLN3	112399
NEDD8	4738
DAD1	1603
CDO1	1036
RAP1B	5908
AANAT	15
ARHGEF6	9459
ART1	417
CHRNA10	57053
DAZL	1618
MAPK8IP3	23162
MKNK2	2872
KLF16	83855
ABHD17A	81926
SALL1	6299
ZC3H14	79882
LMAN1	3998
ANGEL1	23357
CNGB1	1258
CDADC1	81602
ZFYVE26	23503
NALCN	259232
C16orf62	57020
DOCK7	85440
CORO7	79585
SEC14L5	9717
PBX4	80714
DHX40	79665
DTWD1	56986
MEGF8	1954
ZNF221	7638
HCN2	610
IGSF21	84966
SLX1A	548593
